"고유번호","구명","수목고유번호","구번호","동명","순번","수목명","흉고지름","수고","수관너비","위치","주변토지사용상태","품계흉고","품계활력","품계수형","품계수종","품계위치","관리등급","피해상태","학명","식생활력","품계등급","관리기관","X 좌표","Y 좌표"
"20002010","중구","2-필동-큰-0079","02","필동","79.00000000","느티나무","26.00000000","16.00000000","10.00000000","","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","199458.932","199458.9323"
"20002011","중구","2-중림동-큰-0062","02","중림동","62.00000000","아카시아나무","30.00000000","20.00000000","10.00000000","손기정공원","50","5.00000000","10.00000000","6.00000000","4","6","3.00000000","1.00000000","Robinia pseudacacia L.","2.00000000","31.00000000","공원녹지과","196914.697","196914.6967"
"20002012","중구","2-필동-큰-0034","02","필동","34.00000000","아카시아나무","29.00000000","26.00000000","10.00000000","한국의집","30","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Robinia pseudacacia L.","2.00000000","34.00000000","공원녹지과","199490.433","199490.4331"
"20000030","중구","2-회현동-큰-0214","02","회현동","214.00000000","백합나무","40.00000000","27.00000000","12.00000000","연세빌딩","70","10.00000000","10.00000000","6.00000000","2","9","3.00000000","2.00000000","Liriodendron tulipifera L.","0E-8","0E-8","공원녹지과","197648.477","197648.477"
"20000087","중구","2-을지로3,4,5동-큰-0030","02","을지로3,4,5동","30.00000000","은행나무","70.00000000","15.00000000","7.00000000","을지로2가 영락교회","30","15.00000000","10.00000000","6.00000000","6","9","2.00000000","1.00000000","Ginkgo biloba L.","2.00000000","46.00000000","공원녹지과","199113.404","199113.4039"
"20000182","중구","2-회현동-큰-0042","02","회현동","42.00000000","","0E-8","0E-8","0E-8","","0","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","","2.00000000","36.00000000","공원녹지과","198231.572","198231.5718"
"20000211","중구","2-충무로4,5동-큰-0090","02","충무로4,5동","90.00000000","은행나무","60.00000000","11.00000000","6.00000000","덕수중학교","60","15.00000000","10.00000000","6.00000000","6","9","2.00000000","1.00000000","Ginkgo biloba L.","2.00000000","46.00000000","공원녹지과","199820.312","199820.3115"
"20000349","중구","2-신당2동-큰-0051","02","신당2동","51.00000000","소나무","21.00000000","4.00000000","2.00000000","432-1671","10","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Pinus densiflora S et Z.","2.00000000","36.00000000","공원녹지과","200500.366","200500.3655"
"20000410","중구","2-장충동-큰-0043","02","장충동","43.00000000","느티나무","30.00000000","17.00000000","12.00000000","동국대학교","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","199945.371","199945.371"
"20000487","중구","2-태평로1가동-큰-0045","02","태평로1가동","45.00000000","양버즘나무","27.00000000","30.00000000","7.00000000","시청","60","5.00000000","10.00000000","6.00000000","2","9","3.00000000","1.00000000","Platanus occidentalis L.","2.00000000","32.00000000","공원녹지과","198121.201","198121.2014"
"20000560","중구","2-충무로4,5동-큰-0030","02","충무로4,5동","30.00000000","은행나무","25.00000000","12.00000000","5.00000000","중구청","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","199823.559","199823.5586"
"20000762","중구","2-소공동-큰-0241","02","소공동","241.00000000","은행나무","42.00000000","20.00000000","10.00000000","롯데호텔","30","10.00000000","10.00000000","6.00000000","6","9","2.00000000","1.00000000","Ginkgo biloba L.","2.00000000","41.00000000","공원녹지과","197920.152","197920.1516"
"20000645","중구","2-회현동-큰-0125","02","회현동","125.00000000","느티나무","22.00000000","10.00000000","9.00000000","한국은행부지","30","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","198540.916","198540.9164"
"20000708","중구","2-장충동-큰-0300","02","장충동","300.00000000","단풍나무","22.00000000","6.00000000","5.00000000","","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Acer palmatum Thunb.","2.00000000","36.00000000","공원녹지과","200297.437","200297.4366"
